nohup: ignoring input
Files already downloaded and verified
[2023-04-03 21:36:09] [INFO] batch:220/391 lossAver:1.127829
[2023-04-03 21:36:10] [INFO] batch:230/391 lossAver:1.124513
[2023-04-03 21:36:11] [INFO] batch:240/391 lossAver:1.124408
[2023-04-03 21:36:12] [INFO] batch:250/391 lossAver:1.122424
[2023-04-03 21:36:13] [INFO] batch:260/391 lossAver:1.120048
[2023-04-03 21:36:14] [INFO] batch:270/391 lossAver:1.117694
[2023-04-03 21:36:15] [INFO] batch:280/391 lossAver:1.114031
[2023-04-03 21:36:16] [INFO] batch:290/391 lossAver:1.110524
[2023-04-03 21:36:17] [INFO] batch:300/391 lossAver:1.108361
[2023-04-03 21:36:18] [INFO] batch:310/391 lossAver:1.104971
[2023-04-03 21:36:19] [INFO] batch:320/391 lossAver:1.102263
[2023-04-03 21:36:20] [INFO] batch:330/391 lossAver:1.098786
[2023-04-03 21:36:21] [INFO] batch:340/391 lossAver:1.096128
[2023-04-03 21:36:22] [INFO] batch:350/391 lossAver:1.094839
[2023-04-03 21:36:23] [INFO] batch:360/391 lossAver:1.092005
[2023-04-03 21:36:24] [INFO] batch:370/391 lossAver:1.088880
[2023-04-03 21:36:25] [INFO] batch:380/391 lossAver:1.086245
[2023-04-03 21:36:26] [INFO] batch:390/391 lossAver:1.082252
[2023-04-03 21:36:26] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293, 1.311826718432824, 1.0823291354167186]
[2023-04-03 21:36:32] [INFO] testAcc:[0.1042, 0.338, 0.4854, 0.5689, 0.6597]
[2023-04-03 21:36:32] [INFO] epoch: 06 / 50
[2023-04-03 21:36:33] [INFO] batch:10/391 lossAver:0.919930
[2023-04-03 21:36:35] [INFO] batch:20/391 lossAver:0.952850
[2023-04-03 21:36:36] [INFO] batch:30/391 lossAver:0.962432
[2023-04-03 21:36:37] [INFO] batch:40/391 lossAver:0.948191
[2023-04-03 21:36:38] [INFO] batch:50/391 lossAver:0.942505
[2023-04-03 21:36:39] [INFO] batch:60/391 lossAver:0.936709
[2023-04-03 21:36:40] [INFO] batch:70/391 lossAver:0.934920
[2023-04-03 21:36:41] [INFO] batch:80/391 lossAver:0.933091
[2023-04-03 21:36:42] [INFO] batch:90/391 lossAver:0.930667
[2023-04-03 21:36:43] [INFO] batch:100/391 lossAver:0.929829
[2023-04-03 21:36:44] [INFO] batch:110/391 lossAver:0.929145
[2023-04-03 21:36:45] [INFO] batch:120/391 lossAver:0.925761
[2023-04-03 21:36:46] [INFO] batch:130/391 lossAver:0.925613
[2023-04-03 21:36:47] [INFO] batch:140/391 lossAver:0.922442
[2023-04-03 21:36:48] [INFO] batch:150/391 lossAver:0.922113
[2023-04-03 21:36:49] [INFO] batch:160/391 lossAver:0.924778
[2023-04-03 21:36:50] [INFO] batch:170/391 lossAver:0.925637
[2023-04-03 21:36:51] [INFO] batch:180/391 lossAver:0.922261
[2023-04-03 21:36:52] [INFO] batch:190/391 lossAver:0.920355
[2023-04-03 21:36:53] [INFO] batch:200/391 lossAver:0.917484
[2023-04-03 21:36:54] [INFO] batch:210/391 lossAver:0.914515
[2023-04-03 21:36:55] [INFO] batch:220/391 lossAver:0.911637
[2023-04-03 21:36:56] [INFO] batch:230/391 lossAver:0.910729
[2023-04-03 21:36:57] [INFO] batch:240/391 lossAver:0.910359
[2023-04-03 21:36:58] [INFO] batch:250/391 lossAver:0.910637
[2023-04-03 21:36:59] [INFO] batch:260/391 lossAver:0.909314
[2023-04-03 21:37:00] [INFO] batch:270/391 lossAver:0.908951
[2023-04-03 21:37:01] [INFO] batch:280/391 lossAver:0.907005
[2023-04-03 21:37:02] [INFO] batch:290/391 lossAver:0.904324
[2023-04-03 21:37:03] [INFO] batch:300/391 lossAver:0.901869
[2023-04-03 21:37:04] [INFO] batch:310/391 lossAver:0.901330
[2023-04-03 21:37:05] [INFO] batch:320/391 lossAver:0.899850
[2023-04-03 21:37:06] [INFO] batch:330/391 lossAver:0.897488
[2023-04-03 21:37:07] [INFO] batch:340/391 lossAver:0.895135
[2023-04-03 21:37:08] [INFO] batch:350/391 lossAver:0.892863
[2023-04-03 21:37:09] [INFO] batch:360/391 lossAver:0.892343
[2023-04-03 21:37:10] [INFO] batch:370/391 lossAver:0.891170
[2023-04-03 21:37:11] [INFO] batch:380/391 lossAver:0.889802
[2023-04-03 21:37:12] [INFO] batch:390/391 lossAver:0.888338
[2023-04-03 21:37:12] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293, 1.311826718432824, 1.0823291354167186, 0.8880585836022711]
[2023-04-03 21:37:19] [INFO] testAcc:[0.1042, 0.338, 0.4854, 0.5689, 0.6597, 0.7028]
[2023-04-03 21:37:19] [INFO] epoch: 07 / 50
[2023-04-03 21:37:20] [INFO] batch:10/391 lossAver:0.821183
[2023-04-03 21:37:21] [INFO] batch:20/391 lossAver:0.828198
[2023-04-03 21:37:22] [INFO] batch:30/391 lossAver:0.841524
[2023-04-03 21:37:23] [INFO] batch:40/391 lossAver:0.831496
[2023-04-03 21:37:24] [INFO] batch:50/391 lossAver:0.818538
[2023-04-03 21:37:25] [INFO] batch:60/391 lossAver:0.816794
[2023-04-03 21:37:26] [INFO] batch:70/391 lossAver:0.811217
[2023-04-03 21:37:27] [INFO] batch:80/391 lossAver:0.811507
[2023-04-03 21:37:28] [INFO] batch:90/391 lossAver:0.819437
[2023-04-03 21:37:29] [INFO] batch:100/391 lossAver:0.821992
[2023-04-03 21:37:30] [INFO] batch:110/391 lossAver:0.820264
[2023-04-03 21:37:31] [INFO] batch:120/391 lossAver:0.817189
[2023-04-03 21:37:32] [INFO] batch:130/391 lossAver:0.812210
[2023-04-03 21:37:33] [INFO] batch:140/391 lossAver:0.806834
[2023-04-03 21:37:34] [INFO] batch:150/391 lossAver:0.804602
[2023-04-03 21:37:35] [INFO] batch:160/391 lossAver:0.801365
[2023-04-03 21:37:36] [INFO] batch:170/391 lossAver:0.798180
[2023-04-03 21:37:37] [INFO] batch:180/391 lossAver:0.796878
[2023-04-03 21:37:38] [INFO] batch:190/391 lossAver:0.795927
[2023-04-03 21:37:39] [INFO] batch:200/391 lossAver:0.794892
[2023-04-03 21:37:40] [INFO] batch:210/391 lossAver:0.791746
[2023-04-03 21:37:41] [INFO] batch:220/391 lossAver:0.790180
[2023-04-03 21:37:42] [INFO] batch:230/391 lossAver:0.787364
[2023-04-03 21:37:43] [INFO] batch:240/391 lossAver:0.786458
[2023-04-03 21:37:44] [INFO] batch:250/391 lossAver:0.785500
[2023-04-03 21:37:46] [INFO] batch:260/391 lossAver:0.785881
[2023-04-03 21:37:47] [INFO] batch:270/391 lossAver:0.785781
[2023-04-03 21:37:48] [INFO] batch:280/391 lossAver:0.785309
[2023-04-03 21:37:49] [INFO] batch:290/391 lossAver:0.784071
[2023-04-03 21:37:50] [INFO] batch:300/391 lossAver:0.783631
[2023-04-03 21:37:51] [INFO] batch:310/391 lossAver:0.783656
[2023-04-03 21:37:52] [INFO] batch:320/391 lossAver:0.783048
[2023-04-03 21:37:53] [INFO] batch:330/391 lossAver:0.780882
[2023-04-03 21:37:54] [INFO] batch:340/391 lossAver:0.779359
[2023-04-03 21:37:55] [INFO] batch:350/391 lossAver:0.777082
[2023-04-03 21:37:56] [INFO] batch:360/391 lossAver:0.774795
[2023-04-03 21:37:57] [INFO] batch:370/391 lossAver:0.772951
[2023-04-03 21:37:58] [INFO] batch:380/391 lossAver:0.770632
[2023-04-03 21:37:59] [INFO] batch:390/391 lossAver:0.770322
[2023-04-03 21:37:59] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293, 1.311826718432824, 1.0823291354167186, 0.8880585836022711, 0.7709291109343623]
[2023-04-03 21:38:05] [INFO] testAcc:[0.1042, 0.338, 0.4854, 0.5689, 0.6597, 0.7028, 0.7367]
[2023-04-03 21:38:05] [INFO] epoch: 08 / 50
[2023-04-03 21:38:06] [INFO] batch:10/391 lossAver:0.646706
[2023-04-03 21:38:07] [INFO] batch:20/391 lossAver:0.664749
[2023-04-03 21:38:08] [INFO] batch:30/391 lossAver:0.665891
[2023-04-03 21:38:09] [INFO] batch:40/391 lossAver:0.678166
[2023-04-03 21:38:10] [INFO] batch:50/391 lossAver:0.675778
[2023-04-03 21:38:11] [INFO] batch:60/391 lossAver:0.676485
[2023-04-03 21:38:12] [INFO] batch:70/391 lossAver:0.674392
[2023-04-03 21:38:13] [INFO] batch:80/391 lossAver:0.678646
[2023-04-03 21:38:15] [INFO] batch:90/391 lossAver:0.674393
[2023-04-03 21:38:16] [INFO] batch:100/391 lossAver:0.673110
[2023-04-03 21:38:17] [INFO] batch:110/391 lossAver:0.675184
[2023-04-03 21:38:18] [INFO] batch:120/391 lossAver:0.672578
[2023-04-03 21:38:19] [INFO] batch:130/391 lossAver:0.670728
[2023-04-03 21:38:20] [INFO] batch:140/391 lossAver:0.670223
[2023-04-03 21:38:21] [INFO] batch:150/391 lossAver:0.668012
[2023-04-03 21:38:22] [INFO] batch:160/391 lossAver:0.668549
[2023-04-03 21:38:23] [INFO] batch:170/391 lossAver:0.666457
[2023-04-03 21:38:24] [INFO] batch:180/391 lossAver:0.664050
[2023-04-03 21:38:25] [INFO] batch:190/391 lossAver:0.664209
[2023-04-03 21:38:26] [INFO] batch:200/391 lossAver:0.663801
[2023-04-03 21:38:27] [INFO] batch:210/391 lossAver:0.660927
[2023-04-03 21:38:28] [INFO] batch:220/391 lossAver:0.663854
[2023-04-03 21:38:29] [INFO] batch:230/391 lossAver:0.663767
[2023-04-03 21:38:30] [INFO] batch:240/391 lossAver:0.664386
[2023-04-03 21:38:31] [INFO] batch:250/391 lossAver:0.662418
[2023-04-03 21:38:32] [INFO] batch:260/391 lossAver:0.663206
[2023-04-03 21:38:33] [INFO] batch:270/391 lossAver:0.662776
[2023-04-03 21:38:34] [INFO] batch:280/391 lossAver:0.660026
[2023-04-03 21:38:35] [INFO] batch:290/391 lossAver:0.658593
[2023-04-03 21:38:36] [INFO] batch:300/391 lossAver:0.657857
[2023-04-03 21:38:37] [INFO] batch:310/391 lossAver:0.657918
[2023-04-03 21:38:38] [INFO] batch:320/391 lossAver:0.657028
[2023-04-03 21:38:39] [INFO] batch:330/391 lossAver:0.657146
[2023-04-03 21:38:40] [INFO] batch:340/391 lossAver:0.657159
[2023-04-03 21:38:41] [INFO] batch:350/391 lossAver:0.659011
